date,OT,Radia,EquiT,EnvT,Press,Humility
2020/1/3 21:15,0,0,3.62637,10.4,1035.95382,62.418
2020/1/3 21:30,0,0,3.43035,10.9,1035.75186,63.4583
2020/1/3 21:45,0,0,3.52836,8.6,1035.75186,64.4986
2020/1/3 22:00,0,0,3.03831,9.1,1035.85284,65.5389
2020/1/3 22:15,0,0,3.13632,9.7,1035.85284,66.5792
2020/1/3 22:30,0,0,3.03831,8.7,1035.85284,67.6195
2020/1/3 22:45,0,0,2.74428,9.2,1035.95382,68.6598
2020/1/3 23:00,0,0,3.03831,9.3,1035.75186,68.6598
2020/1/3 23:15,0,0,3.33234,9.7,1035.85284,69.7001
2020/1/3 23:30,0,0,3.43035,11.2,1035.65088,70.7404
2020/1/3 23:45,0,0,3.03831,10.4,1035.44892,70.7404
2020/1/4 0:00,0,0,3.03831,10.4,1035.44892,70.7404
2020/1/4 0:15,0,0,2.64627,9.2,1035.34794,71.7807
2020/1/4 0:30,0,0,3.03831,9.6,1035.44892,71.7807
2020/1/4 0:45,0,0,3.03831,11,1035.5499,71.7807
2020/1/4 1:00,0,0,3.13632,10.9,1035.75186,71.7807
2020/1/4 1:15,0,0,2.9403,10.6,1035.65088,70.7404
2020/1/4 1:30,0,0,2.74428,9.8,1035.5499,70.7404
2020/1/4 1:45,0,0,2.74428,9.7,1035.65088,70.7404
2020/1/4 2:00,0,0,2.35224,9.2,1035.5499,70.7404
2020/1/4 2:15,0,0,2.15622,9.1,1035.5499,70.7404
2020/1/4 2:30,0,0,2.35224,9,1035.44892,81.1434
2020/1/4 2:45,0,0,2.05821,8.9,1035.5499,79.0628
2020/1/4 3:00,0,0,1.66617,9.4,1035.34794,76.9822
2020/1/4 3:15,0,0,1.47015,9.2,1035.34794,75.9419
2020/1/4 3:30,0,0,1.9602,8.9,1035.34794,73.8613
2020/1/4 3:45,0,0,1.86219,8.3,1035.24696,71.7807
2020/1/4 4:00,0,0,1.76418,8,1035.44892,70.7404
2020/1/4 4:15,0,0,1.56816,7.7,1035.34794,69.7001
2020/1/4 4:30,0,0,1.66617,7.6,1035.44892,68.6598
2020/1/4 4:45,0,0,1.07811,7.5,1035.34794,68.6598
2020/1/4 5:00,0,0,0.68607,7.5,1035.34794,67.6195
2020/1/4 5:15,0,0,0.58806,7.4,1035.44892,66.5792
2020/1/4 5:30,0,0,0.39204,7.5,1035.75186,66.5792
2020/1/4 5:45,0,0,0.39204,7.6,1035.65088,66.5792
2020/1/4 6:00,0,0,0.88209,7.6,1035.85284,65.5389
2020/1/4 6:15,0,0,1.27413,7.6,1035.85284,65.5389
2020/1/4 6:30,0,0,1.37214,7.4,1035.85284,65.5389
2020/1/4 6:45,0,0,1.17612,7.4,1035.85284,65.5389
2020/1/4 7:00,0,0,0.78408,7.5,1036.0548,65.5389
2020/1/4 7:15,0,0,0.9801,7.9,1036.0548,65.5389
2020/1/4 7:30,0,3,0.9801,8.2,1036.35774,65.5389
2020/1/4 7:45,0.533,11,1.56816,8.4,1036.35774,64.4986
2020/1/4 8:00,1.1548,18,2.35224,8.6,1036.66068,64.4986
2020/1/4 8:15,3.731,26,1.76418,8.8,1036.66068,64.4986
2020/1/4 8:30,3.9086,52,1.66617,9,1036.96362,64.4986
2020/1/4 8:45,5.33,70,2.54826,9.2,1036.86264,64.4986
2020/1/4 9:00,3.6421,106,2.9403,9.6,1036.86264,63.4583
2020/1/4 9:15,3.9086,50,3.23433,9.3,1036.86264,63.4583
2020/1/4 9:30,8.4391,61,6.46866,9.5,1036.96362,62.418
2020/1/4 9:45,6.3959,128,5.78259,9.7,1036.86264,62.418
2020/1/4 10:00,7.3731,76,9.40896,9.8,1036.86264,61.3777
2020/1/4 10:15,8.4391,118,11.07513,9.9,1036.66068,60.3374
2020/1/4 10:30,11.6371,175,6.76269,10,1036.35774,59.2971
2020/1/4 10:45,18.9213,178,7.8408,10.1,1036.15578,58.2568
2020/1/4 11:00,10.2157,189,7.44876,10.1,1036.45872,58.2568
2020/1/4 11:15,8.4391,154,7.05672,10.3,1036.35774,57.2165
2020/1/4 11:30,7.6396,84,6.66468,10.3,1035.85284,56.1762
2020/1/4 11:45,5.1523,78,6.76269,10.4,1036.0548,56.1762
2020/1/4 12:00,5.8629,42,6.07662,10.3,1035.75186,55.1359
2020/1/4 12:15,15.7234,107,6.17463,10.5,1035.44892,54.0956
2020/1/4 12:30,17.4112,206,5.78259,10.7,1035.24696,54.0956
2020/1/4 12:45,8.3503,133,5.97861,10.6,1035.045,53.0553
2020/1/4 13:00,3.6421,61,6.07662,10.6,1034.84304,52.015
2020/1/4 13:15,13.5914,57,6.46866,10.6,1035.045,52.015
2020/1/4 13:30,7.6396,215,6.27264,10.8,1035.045,52.015
2020/1/4 13:45,6.3959,146,6.17463,10.7,1034.74206,53.0553
2020/1/4 14:00,3.9975,63,6.07662,10.6,1034.84304,53.0553
2020/1/4 14:15,2.8426,40,6.37065,10.5,1034.74206,54.0956
2020/1/4 14:30,1.599,37,6.27264,10.5,1034.5401,54.0956
2020/1/4 14:45,1.066,22,6.17463,10.4,1034.5401,54.0956
2020/1/4 15:00,0,13,6.27264,10.4,1034.64108,55.1359
2020/1/4 15:15,1.2437,9,6.27264,10.3,1034.43912,56.1762
2020/1/4 15:30,1.3325,20,6.27264,10.3,1034.64108,57.2165
2020/1/4 15:45,1.9543,20,6.37065,10.2,1034.33814,58.2568
2020/1/4 16:00,0.4442,23,6.46866,10.1,1034.5401,59.2971
2020/1/4 16:15,0,10,6.56667,10.1,1034.64108,60.3374
2020/1/4 16:30,0,5,6.56667,10,1034.84304,61.3777
2020/1/4 16:45,0,2,6.46866,9.9,1034.94402,62.418
2020/1/4 17:00,0,0,6.37065,9.8,1034.74206,63.4583
2020/1/4 17:15,0,0,6.27264,9.5,1034.84304,64.4986
2020/1/4 17:30,0,0,6.27264,9.6,1034.94402,65.5389
2020/1/4 17:45,0,0,6.27264,9.5,1034.84304,66.5792
2020/1/4 18:00,0,0,6.17463,9.3,1034.84304,67.6195
2020/1/4 18:15,0,0,5.97861,9.3,1035.045,68.6598
2020/1/4 18:30,0,0,5.8806,9.4,1035.045,68.6598
2020/1/4 18:45,0,0,5.8806,9.3,1035.045,69.7001
2020/1/4 19:00,0,0,5.97861,9.2,1035.34794,70.7404
2020/1/4 19:15,0,0,5.78259,9.2,1035.65088,70.7404
2020/1/4 19:30,0,0,5.97861,9.1,1035.5499,70.7404
2020/1/4 19:45,0,0,6.17463,9,1035.5499,71.7807
2020/1/4 20:00,0,0,6.27264,8.9,1035.5499,71.7807
2020/1/4 20:15,0,0,6.37065,8.9,1035.65088,71.7807
2020/1/4 20:30,0,0,6.46866,8.9,1035.85284,71.7807
2020/1/4 20:45,0,0,6.37065,8.8,1035.65088,70.7404
2020/1/4 21:00,0,0,6.56667,8.7,1035.44892,70.7404
